stars,name,full_name,description,url
79754,mall,macrozheng/mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,https://github.com/macrozheng/mall
76704,spring-boot,spring-projects/spring-boot,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",https://github.com/spring-projects/spring-boot
42129,JeecgBoot,jeecgboot/JeecgBoot,🔥「AI 低代码平台」前后端分离 SpringBoot 2.x/3.x，SpringCloud，Ant Design&Vue3，Mybatis，Shiro！强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领AI低代码开发模式 AI生成->OnlineCoding->代码生成->手工MERGE，帮助Java项目解决80%重复工作，让开发更关注业务，提高开发效率、节省成本，同时又不失灵活性,https://github.com/jeecgboot/JeecgBoot
37104,tutorials,eugenp/tutorials,Getting Started with Spring Boot 3: ,https://github.com/eugenp/tutorials
33542,spring-boot-demo,xkcoding/spring-boot-demo,🚀一个用来深入学习并实战 Spring Boot 的项目。,https://github.com/xkcoding/spring-boot-demo
30414,spring-boot-examples,ityouknow/spring-boot-examples,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 ,https://github.com/ityouknow/spring-boot-examples
30166,ruoyi-vue-pro,YunaiV/ruoyi-vue-pro,🔥 官方推荐 🔥 RuoYi-Vue 全新 Pro 版本，优化重构所有功能。基于 Spring Boot + MyBatis Plus + Vue & Element 实现的后台管理系统 + 微信小程序，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！,https://github.com/YunaiV/ruoyi-vue-pro
29414,apollo,apolloconfig/apollo,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.,https://github.com/apolloconfig/apollo
19579,litemall,linlinjava/litemall,又一个小商城。litemall = Spring Boot后端 + Vue管理员前端 + 微信小程序用户前端 + Vue用户移动端,https://github.com/linlinjava/litemall
17925,SpringCloudLearning,forezp/SpringCloudLearning,《史上最简单的Spring Cloud教程源码》,https://github.com/forezp/SpringCloudLearning
13448,piggymetrics,sqshq/piggymetrics,"Microservice Architecture with Spring Boot, Spring Cloud and Docker",https://github.com/sqshq/piggymetrics
12522,spring-boot-admin,codecentric/spring-boot-admin,Admin UI for administration of spring boot applications,https://github.com/codecentric/spring-boot-admin
12343,kkFileView,kekingcn/kkFileView,Universal File Online Preview Project based on Spring-Boot,https://github.com/kekingcn/kkFileView
6403,Spring-Cloud-Platform,wxiaoqi/Spring-Cloud-Platform,🔥🔥🔥国内首个Spring Cloud微服务化RBAC的管理平台，核心采用Spring Boot 2.4、Spring Cloud 2020.0.0 & Alibaba，前端采用d2-admin中台框架。 🔝 🔝 记得上边点个star 关注更新,https://github.com/wxiaoqi/Spring-Cloud-Platform
6222,pig,pig-mesh/pig,↥ ↥ ↥ 点击关注更新，基于 Spring Cloud 2024 、Spring Boot 3.4、 OAuth2 的 RBAC 权限管理系统,https://github.com/pig-mesh/pig
5849,jetlinks-community,jetlinks/jetlinks-community,"JetLinks  基于Java8,Spring Boot 2.x ,WebFlux,Netty,Vert.x,Reactor等开发, 是一个全响应式的企业级物联网平台。支持统一物模型管理,多种设备,多种厂家,统一管理。统一设备连接管理,多协议适配(TCP,MQTT,UDP,CoAP,HTTP等),屏蔽网络编程复杂性,灵活接入不同厂家不同协议等设备。实时数据处理,设备告警,消息通知,数据转发。地理位置,数据可视化等。能帮助你快速建立物联网相关业务系统。",https://github.com/jetlinks/jetlinks-community
4892,armeria,line/armeria,"Your go-to microservice framework for any situation, from the creator of Netty et al. You can build any type of microservice leveraging your favorite technologies,  including gRPC, Thrift, Kotlin, Retrofit, Reactive Streams, Spring Boot and Dropwizard.",https://github.com/line/armeria
4729,spring-boot-best-practice,javastacks/spring-boot-best-practice,Spring Boot 最佳实践，包括自动配置、核心原理、源码分析、国际化支持、调试、日志集成、热部署等。,https://github.com/javastacks/spring-boot-best-practice
4645,microservices-platform,zlt2000/microservices-platform,基于SpringBoot2.x、SpringCloud和SpringCloudAlibaba并采用前后端分离的企业级微服务多租户系统架构。并引入组件化的思想实现高内聚低耦合，项目代码简洁注释丰富上手容易，适合学习和企业中使用。真正实现了基于RBAC、jwt和oauth2的无状态统一权限认证的解决方案，面向互联网设计同时适合B端和C端用户，支持CI/CD多环境部署，并提供应用管理方便第三方系统接入；同时还集合各种微服务治理功能和监控功能。模块包括:企业级的认证系统、开发平台、应用监控、慢sql监控、统一日志、单点登录、Redis分布式高速缓存、配置中心、分布式任务调度、接口文档、代码生成等等。,https://github.com/zlt2000/microservices-platform
3075,jwt-spring-security-demo,szerhusenBC/jwt-spring-security-demo,A demo for using JWT (Json Web Token) with Spring Security and Spring Boot 2,https://github.com/szerhusenBC/jwt-spring-security-demo
2727,spring-native,spring-attic/spring-native,Spring Native is now superseded by Spring Boot 3 official native support,https://github.com/spring-attic/spring-native
2597,spring-boot-quick,vector4wang/spring-boot-quick,":herb: 基于springboot的快速学习示例,整合自己遇到的开源框架,如：rabbitmq(延迟队列)、Kafka、jpa、redies、oauth2、swagger、jsp、docker、k3s、k3d、k8s、mybatis加解密插件、异常处理、日志输出、多模块开发、多环境打包、缓存cache、爬虫、jwt、GraphQL、dubbo、zookeeper和Async等等:pushpin:",https://github.com/vector4wang/spring-boot-quick
2495,spring-boot-plus,geekidea/spring-boot-plus,":fire: Spring-Boot-Plus is an easy-to-use, high-speed, high-efficient,feature-rich, open source spring boot scaffolding. :rocket:",https://github.com/geekidea/spring-boot-plus
2482,hypersistence-utils,vladmihalcea/hypersistence-utils,The Hypersistence Utils library (previously known as Hibernate Types) gives you Spring and Hibernate utilities that can help you get the most out of your data access layer.,https://github.com/vladmihalcea/hypersistence-utils
2318,SpringBootLearning,forezp/SpringBootLearning,《Spring Boot教程》源码,https://github.com/forezp/SpringBootLearning
2214,youlai-mall,youlaitech/youlai-mall,🚀基于 Spring Boot 3、Spring Cloud & Alibaba 2022、SAS OAuth2 、Vue3、Element-Plus、uni-app 构建的开源全栈商城。,https://github.com/youlaitech/youlai-mall
2146,xbin-store,xubinux/xbin-store,"模仿国内知名B2C网站,实现的一个分布式B2C商城 使用Spring Boot 自动配置 Dubbox / MVC / MyBatis / Druid / Solr / Redis 等。使用Spring Cloud版本请查看",https://github.com/xubinux/xbin-store
